0.55378	-2.1685	-2.9866	-3.8149	6.7842	-3.7954	-4.9062	-0.87476	4.5074	8.0441
-2.1685	0.81791	-2.7332	-2.0829	7.0011	10.57	-4.6111	-7.7264	-9.3404	-4.773
-2.9866	-2.7332	0.20981	-0.3998	-2.3207	-8.3679	-0.71199	-9.8714	-0.49281	-1.0172
-3.8149	-2.0829	-0.3998	0.094417	-4.2061	-3.3918	-1.3784	1.91	-8.5456	-6.3533
6.7842	7.0011	-2.3207	-4.2061	0.59994	-4.2967	-6.2025	0.077694	0.4507	-4.3331
-3.7954	10.57	-8.3679	-3.3918	-4.2967	1.2659	4.6262	-1.4976	10.394	-3.9155
-4.9062	-4.6111	-0.71199	-1.3784	-6.2025	4.6262	0.99909	-0.84304	0.43472	-1.683
-0.87476	-7.7264	-9.8714	1.91	0.077694	-1.4976	-0.84304	0.026714	-3.5095	-7.0923
4.5074	-9.3404	-0.49281	-8.5456	0.4507	10.394	0.43472	-3.5095	0.49407	-7.3518
8.0441	-4.773	-1.0172	-6.3533	-4.3331	-3.9155	-1.683	-7.0923	-7.3518	0.46281
