1.1599	-1.3756	-2.1154	-2.5896	7.5814	-3.2893	-4.8642	0.18649	5.5513	8.7933	-1.8279	-1.6187	7.1059	10.916	-4.1232	-7.5228	-8.9105	-4.0587	0.63673	-1.9974	-8.2684	-0.057814	-9.2057	0.29753	-0.023925	-3.6579	-3.1487	-0.97109	2.5585	-8.1944
-1.3756	1.7976	-5.0602	-3.3614	-5.3091	1.4991	1.0411	-3.1941	5.3804	-0.56752	11.252	-3.5407	-0.22332	1.395	-0.69871	-2.8251	-5.9323	-6.1567	-2.5821	0.57499	-5.1732	1.4439	-1.2113	-6.9069	10.342	1.214	-6.2408	10.49	-0.30849	-1.588
-2.1154	-5.0602	1.346	-6.9431	5.5816	-5.0706	10.656	3.2397	-0.02779	-1.9405	-6.4075	-6.5042	9.858	-7.3385	-6.2084	-0.57532	-5.4873	-5.1597	-2.8055	-2.078	4.8458	0.16088	1.9484	-8.055	-5.2693	-2.2111	-5.3901	-4.9723	0.082726	-3.6188
-2.5896	-3.3614	-6.9431	1.9389	3.7142	-0.42672	0.9656	-0.74049	4.2283	5.9796	9.6288	-5.1734	-5.4583	4.1189	-1.5083	-0.35188	-6.9312	-6.3881	-3.6141	-2.1147	-2.6401	11.039	1.8494	-2.7393	-4.5713	-5.918	-0.67064	-6.4256	-5.1686	-2.5871
7.5814	-5.3091	5.5816	3.7142	1.5882	-7.6781	7.9259	-5.1665	-2.3864	-0.80808	10.876	-6.8291	-5.7092	-0.12128	-5.6781	-1.7434	-6.5178	8.2608	1.0414	0.38459	-6.4417	8.9265	7.2675	-2.8395	7.1034	-8.6851	8.8925	-1.9832	-0.0061281	-4.3937
-3.2893	1.4991	-5.0706	-0.42672	-7.6781	1.672	-5.7722	2.1864	3.999	7.5474	2.1029	-1.1697	-8.5148	0.82304	-6.8987	-2.7286	-7.9187	6.0615	-1.5626	-1.2588	-2.4046	3.7887	-7.218	-8.2174	-5.9509	-0.61884	0.46512	-3.2341	0.75639	-1.0433
-4.8642	1.0411	10.656	0.9656	7.9259	-5.7722	0.47715	-1.8709	-6.5618	1.9745	-6.2783	-7.7781	-7.5787	-3.7091	4.101	3.45	4.7647	3.7481	-3.6857	-8.713	-9.169	-8.7608	6.7123	-1.2318	1.4465	-3.2421	-2.4457	-2.994	6.9799	5.2893
0.18649	-3.1941	3.2397	-0.74049	-5.1665	2.1864	-1.8709	1.5431	11.009	-6.4401	0.28509	-6.2116	10.939	11.538	0.76709	-7.4875	-2.7124	0.22768	-0.303	-3.2166	0.65263	-2.6185	-0.090387	-3.254	-5.4052	-5.6475	-7.3511	-6.8782	-5.2829	-8.015
5.5513	5.3804	-0.02779	4.2283	-2.3864	3.999	-6.5618	11.009	1.9758	10.941	-4.5753	0.7922	-4.8295	-5.2296	1.5293	-6.1811	6.4381	-2.1352	7.8091	-2.1594	-7.4375	1.4532	1.513	0.85346	10.894	-0.8845	7.0489	0.18069	-0.42619	-7.3276
8.7933	-0.56752	-1.9405	5.9796	-0.80808	7.5474	1.9745	-6.4401	10.941	1.3553	8.9923	-0.33775	-0.96861	6.7897	-1.4319	3.0535	-7.8631	-7.9277	-1.3146	-0.59247	-0.39384	-6.6676	-1.3759	-2.4983	-1.6797	-7.569	9.8237	0.44052	0.95245	-5.5299
-1.8279	11.252	-6.4075	9.6288	10.876	2.1029	-6.2783	0.28509	-4.5753	8.9923	1.6784	-1.1364	-6.7895	-1.4912	-7.1231	-6.2174	-4.8159	-4.0064	10.403	0.34709	-4.9227	-4.5371	0.66172	-5.2044	-1.2053	-3.1363	-0.25884	-1.0565	-0.71699	-5.366
-1.6187	-3.5407	-6.5042	-5.1734	-6.8291	-1.1697	-7.7781	-6.2116	0.7922	-0.33775	-1.1364	0.68072	9.3523	7.652	8.4197	1.356	-3.2175	-8.6284	-4.888	4.7889	3.9463	-8.0439	-5.1723	0.40014	8.0765	-2.4444	-6.2673	-3.0416	-9.0524	-1.6889
7.1059	-0.22332	9.858	-5.4583	-5.7092	-8.5148	-7.5787	10.939	-4.8295	-0.96861	-6.7895	9.3523	0.46767	2.0827	-5.8213	-9.6126	-9.1396	10.005	3.4887	10.197	-8.3895	-6.2789	-3.3637	-3.0058	-4.1362	-0.92274	-0.32985	-5.8834	-2.8472	-2.3404
10.916	1.395	-7.3385	4.1189	-0.12128	0.82304	-3.7091	11.538	-5.2296	6.7897	-1.4912	7.652	2.0827	1.6161	-2.8319	-0.48964	-0.046411	2.2505	-4.9129	-2.8372	-5.3064	-3.5442	-8.4884	-5.2488	-7.0828	-1.9374	-1.8845	-3.7605	-6.218	9.2822
